cross_term_1,cross_term_2,diff,cumsum
0.08644873008380294,0.11359354322496967,0.027144813141166735,0.027144813141166735
0.012659332060804131,0.012267382007529146,-0.0003919500532749854,-0.026946908590295193
0.004769826684863346,0.004346106634186016,-0.0004237200506773302,-0.03751814124771957
0.0017514128135972759,0.0015437927247929403,-0.00020762008880433557,-0.042763449860418315
0.0007810775143047579,0.0006737458241845335,-0.00010733169012022443,-0.04558120404007494
0.00036758569599921066,0.0002914830845879818,-7.610261141122887e-5,-0.04739531064182014
0.0001714179737999979,0.00012069008606654255,-5.0727887733455353e-5,-0.04860499162032007
9.07906870021594e-5,5.7452021791182016e-5,-3.3338665210977385e-5,-0.04940614715008062
5.6218445970141434e-5,3.357293492153744e-5,-2.2645511048603993e-5,-0.04994948342855759
3.849470473267914e-5,2.2500527074671212e-5,-1.599417765800793e-5,-0.05032895982480702
2.7707913410000964e-5,1.6222548367651717e-5,-1.1485365042349246e-5,-0.05060027581516857
2.0540888634556395e-5,1.2107288675734046e-5,-8.433599958822349e-6,-0.05079833669972106
1.5482637958954864e-5,9.15145678084064e-6,-6.331181178114225e-6,-0.05094565453916311
1.1803310392143134e-5,6.950153494287098e-6,-4.853156897856036e-6,-0.0510570787459919
9.084656355364475e-6,5.297699962710763e-6,-3.7869563926537118e-6,-0.05114266242570211
7.053889834217908e-6,4.054724571303644e-6,-2.999165262914264e-6,-0.05120938469313707
5.522236870039231e-6,3.116993871988037e-6,-2.4052429980511936e-6,-0.051262166693023845
4.355431147513502e-6,2.406034591452998e-6,-1.949396556060504e-6,-0.051304513248872745
3.457785703116694e-6,1.8641301524664845e-6,-1.5936555506502096e-6,-0.05133894137776309
2.7615688123517286e-6,1.449039087002405e-6,-1.3125297253493237e-6,-0.0513672768657836
2.2185803475046646e-6,1.1294608006165926e-6,-1.089119546888072e-6,-0.05139086056025153
1.7936966470415187e-6,8.820026645486093e-7,-9.116939824929094e-7,-0.051410690880152286
1.4604723248384078e-6,6.89250475922712e-7,-7.712218489156958e-7,-0.05142752192218431
1.1984401270807282e-6,5.383445082541945e-7,-6.600956188265337e-7,-0.05144193116110737
9.915746714806676e-7,4.1982463375589705e-7,-5.717500377247705e-7,-0.051454366280375474
8.274145817185078e-7,3.267367821046717e-7,-5.006777996138361e-7,-0.05146517890086768
6.962743555072815e-7,2.53817054889944e-7,-4.424573006173375e-7,-0.051474648254455954
5.907103605901808e-7,1.9695720306511931e-7,-3.937531575250615e-7,-0.05148299808199908
5.050704987508936e-7,1.5285351205823577e-7,-3.5221698669265784e-7,-0.05149040901180627
