problem_1,problem_2,problemclass,resolution,p,ot_distance,maxv
data64_1005.csv,data64_1009.csv,ClassicImages,64,1.0,5.128598261520821,126.0
data64_1002.csv,data64_1006.csv,ClassicImages,64,1.0,2.4676236316710636,126.0
data64_1004.csv,data64_1006.csv,ClassicImages,64,1.0,3.883770683678101,126.0
data64_1006.csv,data64_1010.csv,ClassicImages,64,1.0,4.033173040705736,126.0
data64_1005.csv,data64_1007.csv,ClassicImages,64,1.0,2.4342527066751765,126.0
data64_1003.csv,data64_1008.csv,ClassicImages,64,1.0,3.954116465811494,126.0
data64_1002.csv,data64_1003.csv,ClassicImages,64,1.0,3.7100884289668303,126.0
data64_1001.csv,data64_1009.csv,ClassicImages,64,1.0,7.861349815939055,126.0
data64_1007.csv,data64_1008.csv,ClassicImages,64,1.0,3.4065380311618587,126.0
data64_1002.csv,data64_1004.csv,ClassicImages,64,1.0,2.0522349465378804,126.0
data64_1005.csv,data64_1009.csv,ClassicImages,64,2.0,27.13477380925069,7938.0
data64_1002.csv,data64_1006.csv,ClassicImages,64,2.0,6.508562200223954,7938.0
data64_1004.csv,data64_1006.csv,ClassicImages,64,2.0,13.178278085461974,7938.0
data64_1006.csv,data64_1010.csv,ClassicImages,64,2.0,17.556702726588977,7938.0
data64_1005.csv,data64_1007.csv,ClassicImages,64,2.0,6.440407524860206,7938.0
data64_1003.csv,data64_1008.csv,ClassicImages,64,2.0,13.563975110778298,7938.0
data64_1002.csv,data64_1003.csv,ClassicImages,64,2.0,13.698955144182538,7938.0
data64_1001.csv,data64_1009.csv,ClassicImages,64,2.0,64.93213368598843,7938.0
data64_1007.csv,data64_1008.csv,ClassicImages,64,2.0,12.921653714004663,7938.0
data64_1002.csv,data64_1004.csv,ClassicImages,64,2.0,5.520734710761428,7938.0
data64_1005.csv,data64_1009.csv,ClassicImages,64,Inf,4.563520678188869,63.0
data64_1002.csv,data64_1006.csv,ClassicImages,64,Inf,1.882871787918405,63.0
data64_1004.csv,data64_1006.csv,ClassicImages,64,Inf,2.9466148939101697,63.0
data64_1006.csv,data64_1010.csv,ClassicImages,64,Inf,2.988647175485617,63.0
data64_1005.csv,data64_1007.csv,ClassicImages,64,Inf,1.8451849058288476,63.0
data64_1003.csv,data64_1008.csv,ClassicImages,64,Inf,2.844465628842853,63.0
data64_1002.csv,data64_1003.csv,ClassicImages,64,Inf,2.841684281981784,63.0
data64_1001.csv,data64_1009.csv,ClassicImages,64,Inf,6.301252122089165,63.0
data64_1007.csv,data64_1008.csv,ClassicImages,64,Inf,2.644535990835444,63.0
data64_1002.csv,data64_1004.csv,ClassicImages,64,Inf,1.5386622682554685,63.0
data64_1005.csv,data64_1009.csv,GRFsmooth,64,1.0,11.447939248163719,126.0
data64_1002.csv,data64_1006.csv,GRFsmooth,64,1.0,14.623991160040472,126.0
data64_1004.csv,data64_1006.csv,GRFsmooth,64,1.0,12.988436872336536,126.0
data64_1006.csv,data64_1010.csv,GRFsmooth,64,1.0,7.212286331630946,126.0
data64_1005.csv,data64_1007.csv,GRFsmooth,64,1.0,11.4921997588697,126.0
data64_1003.csv,data64_1008.csv,GRFsmooth,64,1.0,4.953258452888702,126.0
data64_1002.csv,data64_1003.csv,GRFsmooth,64,1.0,13.876588441983776,126.0
data64_1001.csv,data64_1009.csv,GRFsmooth,64,1.0,6.481065178124157,126.0
data64_1007.csv,data64_1008.csv,GRFsmooth,64,1.0,7.719216746409828,126.0
data64_1002.csv,data64_1004.csv,GRFsmooth,64,1.0,6.504813328065254,126.0
data64_1005.csv,data64_1009.csv,GRFsmooth,64,2.0,138.79957881919952,7938.0
data64_1002.csv,data64_1006.csv,GRFsmooth,64,2.0,151.88562129449377,7938.0
data64_1004.csv,data64_1006.csv,GRFsmooth,64,2.0,133.63312987094753,7938.0
data64_1006.csv,data64_1010.csv,GRFsmooth,64,2.0,54.67524928828994,7938.0
data64_1005.csv,data64_1007.csv,GRFsmooth,64,2.0,94.20814587735775,7938.0
data64_1003.csv,data64_1008.csv,GRFsmooth,64,2.0,26.923861033663115,7938.0
data64_1002.csv,data64_1003.csv,GRFsmooth,64,2.0,150.85388359630537,7938.0
data64_1001.csv,data64_1009.csv,GRFsmooth,64,2.0,41.218900033898464,7938.0
data64_1007.csv,data64_1008.csv,GRFsmooth,64,2.0,76.35450276526727,7938.0
data64_1002.csv,data64_1004.csv,GRFsmooth,64,2.0,50.49023990265172,7938.0
data64_1005.csv,data64_1009.csv,GRFsmooth,64,Inf,9.862184645500617,63.0
data64_1002.csv,data64_1006.csv,GRFsmooth,64,Inf,8.515376131669363,63.0
data64_1004.csv,data64_1006.csv,GRFsmooth,64,Inf,8.702424588125341,63.0
data64_1006.csv,data64_1010.csv,GRFsmooth,64,Inf,6.192495893266481,63.0
data64_1005.csv,data64_1007.csv,GRFsmooth,64,Inf,7.172478245415392,63.0
data64_1003.csv,data64_1008.csv,GRFsmooth,64,Inf,3.5365270317622706,63.0
data64_1002.csv,data64_1003.csv,GRFsmooth,64,Inf,7.79742178478358,63.0
data64_1001.csv,data64_1009.csv,GRFsmooth,64,Inf,4.355696977776696,63.0
data64_1007.csv,data64_1008.csv,GRFsmooth,64,Inf,6.72363962055172,63.0
data64_1002.csv,data64_1004.csv,GRFsmooth,64,Inf,5.850741422702895,63.0
data64_1005.csv,data64_1009.csv,MicroscopyImages,64,1.0,11.297917834993203,126.0
